Make,Model_Version,Electric_Range,Total_Range,Incentives,MSRP,Match_Score,Vehicle_URL
Cadillac,LYRIQ TECH RWD,,505 km,$0,"$66,699",N/A,https://ev.plugndrive.ca/vehicles/Cadillac_LYRIQ_RWD_BEV_2024_CA
Chevrolet,Silverado 3WT,,632 km,$0,"$74,771",N/A,https://ev.plugndrive.ca/vehicles/Chevrolet_Silverado_Electric_3WT_BEV_2024_CA
Chevrolet,Silverado 4WT,,724 km,$0,"$80,571",N/A,https://ev.plugndrive.ca/vehicles/Chevrolet_Silverado_Electric_4WT_BEV_2024_CA
Chevrolet,Silverado First-Edition RST,,708 km,$0,"$117,571",N/A,https://ev.plugndrive.ca/vehicles/Chevrolet_Silverado_Electric_First-Edition_RST_BEV_2024_CA
Chrysler,Pacifica PHEV Pinnacle,51 km,835 km,$0,"$73,495",N/A,https://ev.plugndrive.ca/vehicles/Chrysler_Pacifica_Hybrid_Pinnacle_PHEV_2024_CA
Ford,F-150 Lightning LARIAT,,515 km,$0,"$95,595",N/A,https://ev.plugndrive.ca/vehicles/Ford_F-150_Lightning_LARIAT_BEV_2025_CA
Ford,F-150 Lightning Platinum,,483 km,$0,"$110,495",N/A,https://ev.plugndrive.ca/vehicles/Ford_F-150_Lightning_Platinum_BEV_2025_CA
Ford,F-150 Lightning XLT,,386 km,"$5,000","$69,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_F-150_Lightning_XLT_BEV_2025_CA
Ford,Mustang Mach E GT Extended Range AWD,,451 km,"$5,000","$69,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_GT_Extended_Range_AWD_BEV_2024_CA
Ford,Mustang Mach E Premium Extended Range AWD,,483 km,"$5,000","$64,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Premium_Extended_Range_AWD_BEV_2024_CA
Ford,Mustang Mach E Rally Extended Range AWD,,426 km,$0,"$74,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Rally_Extended_Range_AWD_BEV_2024_CA
Genesis,Electrified G80 Prestige AWD,,454 km,$0,"$105,000",N/A,https://ev.plugndrive.ca/vehicles/Genesis_Electrified_G80_Prestige AWD_BEV_2024_CA
Genesis,Electrified GV70 Prestige AWD,,383 km,$0,"$84,500",N/A,https://ev.plugndrive.ca/vehicles/Genesis_Electrified_GV70_Prestige_AWD_BEV_2024_CA
Genesis,GV60 Performance AWD,,378 km,$0,"$80,500",N/A,https://ev.plugndrive.ca/vehicles/Genesis_GV60_Performance_AWD_BEV_2024_CA
GMC,Hummer EV Pickup Truck 2X,,500 km,$0,"$131,098",N/A,https://ev.plugndrive.ca/vehicles/gmc_hummer_ev_pickup_2x_bev_2024_CA
GMC,Hummer EV Pickup Truck 3X,,613 km,$0,"$157,598",N/A,https://ev.plugndrive.ca/vehicles/gmc_hummer_ev_pickup_3x_bev_CA
GMC,Hummer EV SUV 2X,,488 km,$0,"$131,098",N/A,https://ev.plugndrive.ca/vehicles/gmc_hummer_ev_suv_2x_bev_CA
GMC,Hummer EV SUV 3X,,505 km,$0,"$144,098",N/A,https://ev.plugndrive.ca/vehicles/gmc_hummer_ev_suv_3x_bev_CA
Honda,Prologue Touring,,439 km,"$5,000","$69,990",N/A,https://ev.plugndrive.ca/vehicles/Honda_Prologue_Touring_BEV_2024_CA
Jaguar,I-Pace HSE,,381 km,$0,"$103,700",N/A,https://ev.plugndrive.ca/vehicles/Jaguar_I-Pace_BEV_2024_CA
Jeep,Wrangler PHEV 4xe 4-Door High Altitude,35 km,592 km,$0,"$84,720",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Wrangler_4xe_High_Altitude_PHEV_2024_CA
Jeep,Wrangler PHEV 4xe 4-Door Rubicon,35 km,592 km,$0,"$75,720",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Wrangler_4xe_Rubicon_PHEV_2024_CA
Jeep,Wrangler PHEV 4xe 4-Door Rubicon X,35 km,592 km,$0,"$85,215",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Wrangler_4xe_Rubicon_X_PHEV_2024_CA
Jeep,Wrangler PHEV 4xe 4-Door Sahara,35 km,592 km,"$2,500","$64,995",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Wrangler_4xe_Sahara_PHEV_2024_CA
Jeep,Wrangler PHEV 4xe 4-Door Willys,35 km,592 km,"$2,500","$64,995",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Wrangler_4xe_Willys_PHEV_2024_CA
Kia,EV6 GT AWD,,332 km,$0,"$76,495",N/A,https://ev.plugndrive.ca/vehicles/Kia_EV6_GT_AWD_BEV_2024_CA
Kia,EV9 Land AWD,,451 km,"$5,000","$64,995",N/A,https://ev.plugndrive.ca/vehicles/Kia_EV9_Land_AWD_BEV_2024_CA
Lexus,RX 450h+,60 km,878 km,$0,"$90,235",N/A,https://ev.plugndrive.ca/vehicles/Lexus_RX_450h+_PHEV_2024_CA
Lucid,Air Sapphire,,687 km,$0,"$327,300",N/A,https://ev.plugndrive.ca/vehicles/Lucid_Air_Sapphire_BEV_2024_CA
Mercedes-Benz,EQB300 4MATIC SUV,,330 km,"$5,000","$64,990",N/A,https://ev.plugndrive.ca/vehicles/Mercedes-Benz_EQB_300_4MATIC_SUV_BEV_2024_CA
Mercedes-Benz,GLE-Class GLE450e,77 km,740 km,$0,"$90,100",N/A,https://ev.plugndrive.ca/vehicles/Mercedes-Benz_GLE_450e_PHEV_2024_CA
Nissan,Ariya Evolve+ E-4orce,,438 km,"$5,000","$64,998",N/A,https://ev.plugndrive.ca/vehicles/Nissan_Ariya_Evolve+_E_4orce_BEV_2024_CA
Tesla,Model 3 Performance AWD,,476 km,$0,"$69,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_3_Performance_AWD_BEV_2024_CA
Tesla,Model S AWD,,647 km,$0,"$103,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_S_AWD_BEV_2024_CA
Tesla,Model S Plaid,,578 km,$0,"$124,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_S_Plaid_BEV_2024_CA
Tesla,Model X AWD,,539 km,$0,"$110,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_X_AWD_BEV_2024_CA
Tesla,Model X Plaid,,525 km,$0,"$131,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_X_Plaid_BEV_2024_CA
Tesla,Model Y Long Range AWD,,497 km,$0,"$63,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_Y_Long_Range_AWD_BEV_2024_CA
Tesla,Model Y Performance,,459 km,"$5,000","$68,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_Y_Performance_BEV_2024_CA
VinFast,VF9 Eco,,531 km,$0,"$74,890",N/A,https://ev.plugndrive.ca/vehicles/VinFast_VF9_Eco_BEV_2024_CA
VinFast,VF9 Plus,,468 km,$0,"$78,890",N/A,https://ev.plugndrive.ca/vehicles/VinFast_VF9_Plus_BEV_2024_CA
Volvo,EC40 Ultra Black Edition,,431 km,$0,"$76,750",N/A,https://ev.plugndrive.ca/vehicles/Volvo_EC40_Black_Edition_BEV_2025_CA
Volvo,EX90 Plus Twin Motor Performance,,499 km,$0,"$115,600",N/A,https://ev.plugndrive.ca/vehicles/Volvo_EX90_Twin_Motor_Performance_BEV_2025_CA
Volvo,S60 Recharge Ultra Black Edition,64 km,856 km,$0,"$72,050",N/A,https://ev.plugndrive.ca/vehicles/Volvo_S60_Recharge_Black_Edition_PHEV_2025_CA
Volvo,S90 Recharge Plus,61 km,809 km,$0,"$79,250",N/A,https://ev.plugndrive.ca/vehicles/Volvo_S90_Recharge_PHEV_2025_CA
Volvo,V60 Recharge Polestar Engineered,64 km,856 km,$0,"$85,000",N/A,https://ev.plugndrive.ca/vehicles/Volvo_V60_Recharge_PHEV_2025_CA
Volvo,XC60 Recharge Polestar Engineered,58 km,896 km,$0,"$92,000",N/A,https://ev.plugndrive.ca/vehicles/Volvo_XC60_Recharge_Polestar_Engineered_PHEV_2025_CA
Volvo,XC60 Recharge Ultra Black Edition,58 km,896 km,$0,"$83,950",N/A,https://ev.plugndrive.ca/vehicles/Volvo_XC60_Recharge_Black_Edition_PHEV_2025_CA
Volvo,XC90 Recharge Ultra,53 km,856 km,$0,"$93,450",N/A,https://ev.plugndrive.ca/vehicles/Volvo_XC90_Recharge_PHEV_2025_CA
