model,charger_id,make,model_variant,price,price_src,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,details_link,spec_src,img,has_discount,discount_value,discount_code,certifications,volts_ac,kw_ac,incentives
Wall Wattz,WattZilla_Wall_Wattz_75_AMP,WattZilla,75-AMP,1799,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,75.0,Wall mounted,25,"14-60, Hardwired",J1772,False,1,True,True,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,https://assets.zappyride.com/img/chargers/WattZilla%20WallWatts.png,False,0,,"Energy Star, UL",240.0,18.0,[]
DUO,WattZilla_DUO,WattZilla,,4195,https://www.wattzilla.com/products/duo.htm,80.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://www.wattzilla.com/products/duo.htm,,https://assets.zappyride.com/img/chargers/WattZilla%20DUO.png,False,0,,"cUL, Energy Star, UL",240.0,19.2,[]
UNO,WattZilla_UNO,WattZilla,,2195,https://www.wattzilla.com/products/uno.htm,80.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://www.wattzilla.com/products/uno.htm,,https://assets.zappyride.com/img/chargers/WattZilla%20UNO.png,False,0,,"cUL, Energy Star, UL",240.0,19.2,[]
TurboDX,Webasto_TurboDX_32_Amp_15_ft,Webasto,32 Amp 15',539,https://store.evsolutions.com/turbodx---32-amps---15ft-cable-ul-listed-p117.aspx,32.0,Wall mounted,15,Hardwired,J1772,False,3,True,False,https://store.evsolutions.com/turbodx---32-amps---15ft-cable-ul-listed-p117.aspx,https://store.evsolutions.com/turbodx---32-amps---15ft-cable-ul-listed-p117.aspx,https://assets.zappyride.com/img/chargers/Webasto%20TurboDX%2032%20Amp%2015%20ft.png,False,0,,"cUL, Energy Star, UL",240.0,7.6,[]
EV AC,Delta_EV_AC_30_Amp_25_inch_Networked,Delta,30A 25' Networked,1025,https://www.evchargesolutions.com/Delta-30-Amp-EV-Charging-Station-25-p/evmu3017mws.htm,30.0,Wall mounted,25,Hardwired,J1772,True,3,False,False,https://www.evchargesolutions.com/Delta-30-Amp-EV-Charging-Station-25-p/evmu3017mws.htm,,https://assets.zappyride.com/img/chargers/Delta%20EV%20AC.png,False,0,,"cUL, UL",240.0,7.2,[]
EV AC,Delta_EV_AC_40_Amp_25_inch_Networked,Delta,40A 25' Networked,1135,https://www.evchargesolutions.com/Delta-40-Amp-Networked-Charging-Station-25-p/evmu4017mws.htm,40.0,Wall mounted,25,Hardwired,J1772,True,3,False,False,https://www.evchargesolutions.com/Delta-40-Amp-Networked-Charging-Station-25-p/evmu4017mws.htm,,https://assets.zappyride.com/img/chargers/Delta%20EV%20AC.png,False,0,,"cUL, UL",240.0,9.6,[]
HCS-D50,ClipperCreek_HCS_D50_,Enphase,,1627,https://enphase.com/store/ev-chargers/clippercreek-ev-chargers/clippercreek-hcs-d50-dual-ev-charger-hardwired-40,40.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://enphase.com/store/ev-chargers/clippercreek-ev-chargers/clippercreek-hcs-d50-dual-ev-charger-hardwired-40,https://enphase.com/store/ev-chargers/clippercreek-ev-chargers/clippercreek-hcs-d50-dual-ev-charger-hardwired-40,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-D50.png,False,0,,"cETL, Energy Star, ETL",240.0,9.6,[]
Energy,PowerCharge_Energy_,PowerCharge,18',599,https://www.evchargesolutions.com/PowerCharge-Energy-Residential-Level-2-EV-Charger-p/e20swe.htm,32.0,Wall mounted,18,"6-50, Hardwired",J1772,False,3,True,False,https://www.evchargesolutions.com/PowerCharge-Energy-Series-EV-Charging-Station-p/e20swe.htm,,https://assets.zappyride.com/img/chargers/PowerChargeEnergy.png,False,0,,"cUL, UL",240.0,7.6,[]
Wall Universal Connector,Tesla_Wall_Connector_18_ft,Tesla,24',450,https://shop.tesla.com/product/wall-connector,48.0,Wall mounted,24,Hardwired,"Tesla,NACS",True,4,True,False,https://shop.tesla.com/product/universal-wall-connector,https://www.tesla.com/sites/default/files/support/charging/Gen3_WallConnector_Installation_Manual.pdf,https://assets.zappyride.com/img/chargers/Tesla%20Wall%20Connector.png,False,0,,"cUL, Energy Star, UL",240.0,11.5,[]
Pulsar Plus,Wallbox_Pulsar_Plus_40A,Wallbox,40A,649,https://wallbox.com/en_us/pulsar-plus-40a,40.0,Wall mounted,25,"14-50, Hardwired",J1772,True,3,True,False,https://wallbox.com/en_us/pulsar-plus-40a,https://wallbox.com/en_us/pulsar-plus-40a,https://assets.zappyride.com/img/chargers/Wallbox%20Pulsar%20Plus.png,False,0,,"cUL, UL",240.0,9.6,[]
