Station Name,Street Address,City,State,Zip,Latitude,Longitude,EV Connector Types,EV Network,Status,Open Date
HANOVER HERITAGE SQUARE,358 Tenth St,Hanover,ON,N4N 1P4,44.15297,-81.026162,J1772,ChargePoint Network,E,2023-07-27
CANADIAN POTATO STATION 1,1 Dewar Ln,O'Leary,PE,C0B 1V0,46.703568,-64.23488,J1772,ChargePoint Network,E,2023-07-27
Montréal - Marché Central - 951 Rue du Marché Central - Walmart,951 Rue du Marché Central,Montréal,QC,H4N 3K1,45.534728,-73.648333,J1772,FLO,E,2023-07-27
St. Albert - Fountain Park Recreation Centre,4 Cunningham Road,St. Albert,AB,T8N 2E9,53.633922,-113.614628,J1772,FLO,E,2023-07-27
CITYOFVANCOUVER COMMERCIAL DC2,1664 E. 11Ave.,Vancouver,BC,V5N 4C4,49.260445,-123.0702,"CHADEMO, J1772COMBO",ChargePoint Network,E,2023-07-28
CITYOFVANCOUVER COMMERCIAL DC1,1664 E 11th Ave,Vancouver,BC,V5N 1Y7,49.260387,-123.07031,"CHADEMO, J1772COMBO",ChargePoint Network,E,2023-07-28
THE POST P2 STALL 13-14,658 Homer St,Vancouver,BC,V6B 2R4,49.2808,-123.113853,J1772,ChargePoint Network,E,2023-07-28
THE POST P1 STALL 19-20,658 Homer St,Vancouver,BC,V6B 2R4,49.280818,-123.113866,J1772,ChargePoint Network,E,2023-07-28
THE POST P1 STALL 30,658 Homer St,Vancouver,BC,V6B 2R4,49.280807,-123.113845,J1772,ChargePoint Network,E,2023-07-28
THE POST P2 STALL234-235,658 Homer St,Vancouver,BC,V6B 2R4,49.280848,-123.113861,J1772,ChargePoint Network,E,2023-07-28
KRAMER CUSTOMER PARKIN,11888 Macleod Trail SE,Calgary,AB,T2J 7J2,50.948532,-114.068726,J1772,ChargePoint Network,E,2023-07-28
IPCC IMPARK P3 #1,733 Seymour St,Vancouver,BC,V6B 5J3,49.281687,-123.117603,J1772,ChargePoint Network,E,2023-07-28
IPCC IMPARK P1 #2,733 Seymour St,Vancouver,BC,V6B 4N7,49.281693,-123.117593,J1772,ChargePoint Network,E,2023-07-28
IPCC IMPARK P1 #1,733 Seymour St,Vancouver,BC,V6B 5J3,49.281677,-123.117621,J1772,ChargePoint Network,E,2023-07-28
HANOVER P&H CENTRE,269 7th Ave,Hanover,ON,N4N 2H5,44.146967,-81.027251,J1772,ChargePoint Network,E,2023-07-28
Don Wheaton Chevrolet Inc - Customer Pay Level,10727 82nd Ave,Edmonton,AB,T6E 3P7,53.517729,-113.506718,J1772,FLO,E,2023-07-28
Ville de East Angus - 16 Rue David-Swan,16 Rue David-Swan,East Angus,QC,J0B 1R0,45.480748,-71.6494,J1772,FLO,E,2023-07-28
3050 Highway 93/95 Windermere,3050 Highway 93/95,Windermere,BC,V0B 2L2,50.4582,-115.963683,J1772,FLO,E,2023-07-28
Country Hills Nissan - 1,2451 Country Hills Blvd NE,Calgary,AB,T3J 0R4,51.153838,-114.002738,J1772,FLO,E,2023-07-28
R&S Auto,420 Ormont Drive,Northyork,ON,M9L 1N9,43.765619,-79.54414,J1772,FLO,E,2023-07-28
MGH PARKING CHARGER #8,825 Coxwell Ave,Toronto,ON,M4C 3E7,43.689826,-79.324903,J1772,ChargePoint Network,E,2023-07-29
Burlington Nissan - Fast Charger,4111 North Service Road,Burlington,ON,L7L 4X6,43.370011,-79.785491,"CHADEMO, J1772COMBO",FLO,E,2023-07-29
6925 Century Avenue,6925 Century Avenue,Mississauga,ON,L5N 7K2,43.602852,-79.750056,J1772,FLO,E,2023-07-29
James Braden Nissan - Fast Charger,790 Gardiners Rd,Kingston,ON,K7M 3X9,44.251658,-76.567548,"CHADEMO, J1772COMBO",FLO,E,2023-07-29
Colborne Street Gallery,30 Colborne Street,Fenelon Falls,ON,K0M 1N0,44.536602,-78.73597,J1772,FLO,E,2023-07-29
North York YMCA,567 Sheppard Ave E,Toronto,ON,M2K 1B2,43.766605,-79.386246,J1772,FLO,E,2023-07-29
BROADSTREET PORTVIEW #7,3553 Anderson Ave,Port Alberni,BC,V9Y 3L6,49.241558,-124.792407,J1772,ChargePoint Network,E,2023-08-01
BROADSTREET PORTVIEW #5,3593 Anderson Ave,Port Alberni,BC,V9Y 5A7,49.241357,-124.79359,J1772,ChargePoint Network,E,2023-08-01
Town of Raymond - Ice Arena,35W 100N,Raymond,AB,T0K 2S0,49.463127,-112.663936,"CHADEMO, J1772COMBO",FLO,E,2023-08-01
Town of Raymond - Aquatic Centre,60 N 100 W,Raymond,AB,T0K 2S0,49.462316,-112.664823,"CHADEMO, J1772COMBO",FLO,E,2023-08-01
SQI - 30 de la Vallée La Malbaie 01818-002,"30, Chemin de la Vallée",La Malbaie,QC,G5A 1A3,47.660809,-70.153552,J1772,FLO,E,2023-08-01
De Mortagne,"1195, rue ampère",Boucherville,QC,J4B 7M6,45.573249,-73.444212,J1772,FLO,E,2023-08-01
JPD/SOF - Port Coquitlam,2385 Ottawa St,Port Coquitlam,BC,V3B 8A4,49.258077,-122.746906,J1772,FLO,E,2023-08-01
Markham YMCA,101 YMCA Blvd,Unionville,ON,L6G 0A1,43.85254,-79.311472,J1772,FLO,E,2023-08-01
MTOCP 417 & OTTAWA 2,348 Keatley Rd,Arnprior,ON,K7S 3G7,45.421861,-76.324116,J1772,ChargePoint Network,E,2023-08-02
MTOCP MTOCP / 115 & P,919 Syer Line,Cavan,ON,L0A 1C0,44.187176,-78.46413,J1772,ChargePoint Network,T,2023-08-02
MTOCP HWY 2 HWY 401 1,376 Hwy 2 Gananoque,Gananoque,ON,K7G 2V4,44.340825,-76.139869,J1772,ChargePoint Network,E,2023-08-02
MTOCP 115 & PTBO10 1,919 Syer Line,Cavan,ON,L0A 1C0,44.187152,-78.464033,J1772,ChargePoint Network,E,2023-08-02
MTOCP 417 & OTTAWA 1,348 Keatley Rd,Arnprior,ON,K7S 3G7,45.421898,-76.324041,J1772,ChargePoint Network,E,2023-08-02
MTOCP HWY 2 HWY 401 2,380 Hwy 2,Gananoque,ON,K7G 2V4,44.344961,-76.132849,J1772,ChargePoint Network,E,2023-08-02
IKEA 039 MONTREAL CW1,9191 Boul Cavendish,Montréal,QC,H4T 1M8,45.492242,-73.691825,J1772,ChargePoint Network,E,2023-08-02
IKEA 039 MONTREAL CX5,9191 Boul Cavendish,Montréal,QC,H4T 1M8,45.49223,-73.691718,J1772,ChargePoint Network,T,2023-08-02
MARINE GATEWAY. 60A - 9/11,450 SW Marine Dr,Vancouver,BC,V5X 4V2,49.2101,-123.115364,J1772,ChargePoint Network,E,2023-08-02
MacIntyre Chevrolet - Outside,101 Disco Street,Sydney,NS,B1P 6H2,46.142003,-60.178571,J1772,FLO,E,2023-08-02
Village of Kaslo - Vimy Park Municipal Campground,503 2nd St,Kaslo,BC,V0G 1M0,49.909047,-116.898763,J1772,FLO,E,2023-08-02
Popeyes Louisiana Kitchen - Lloydminster,#101b 8120 44 Street,Lloydminster,AB,T9V 3L6,53.279143,-110.06457,J1772,FLO,E,2023-08-02
SWTCH Energy,10120 123 St,Grande Prairie,AB,T8V 8B8,55.17228114,-118.8691773,"CHADEMO, J1772COMBO",SWTCH,E,2023-06-26
100 rue Sainte-Angélique,100 rue Sainte-Angélique,Saint-Basile,QC,G0A 3G0,46.757082,-71.825451,J1772,Circuit électrique,E,2020-10-29
7070 Jean-Talon,7070 rue Jean-Talon Est,Montréal,QC,H1M 3T4,45.597136,-73.56931,J1772,Circuit électrique,E,2019-07-17
7111 Marie-Gérin Lajoie,7111 Marie-G Lajoie,Montréal,QC,H1J 2X8,45.605348,-73.585155,J1772,Circuit électrique,E,2021-01-20
7501 Rondeau,7501 Rondeau,Montréal,QC,H1K 2P3,45.61634620767123,-73.55157011723178,J1772,Circuit électrique,E,2019-08-06
8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,Montréal,QC,H1K 1E5,45.60978719,-73.55726074,J1772,Circuit électrique,E,2023-03-18
7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",Montréal,QC,H1J 2E9,45.6074819,-73.5865146,J1772,Circuit électrique,E,2022-01-14
8755 4e Croissant,8755 4e Croissant,Montréal,QC,H1J 1M3,45.621933,-73.573054,J1772,Circuit électrique,E,2020-01-31
8261 Haut-Anjou,8261 Haut-Anjou,Montréal,QC,H1J 1T8,45.603003,-73.56918,J1772,Circuit électrique,E,2020-09-26
8200 ave Chénier - Aréna Chénier,8200 ave Chénier,Montréal,QC,H1J 2E9,45.6014799,-73.5416597,J1772,Circuit électrique,E,2020-05-30
10719 D'auteuil,"10719, Avenue d'Auteuil",Montréal,QC,H3L 2K7,45.55327559999999,-73.6697993,J1772,Circuit électrique,E,2021-09-16
7701 Louis-H. La Fontaine,7701 Louis-H. La Fontaine,Montréal,QC,H1K 4B9,45.601665,-73.557643,J1772,Circuit électrique,E,2020-08-28
6619 Merriam,6619 Merriam,Montréal,QC,H1K 1P1,45.604093,-73.551504,J1772,Circuit électrique,E,2022-04-28
7743 Rheaume,7743 Rheaume,Montréal,QC,H1K 2S2,45.615923,-73.553482,J1772,Circuit électrique,E,2022-03-23
8759 Des Sciences,8759 Des Sciences,Montréal,QC,H1J 1H8,45.617913,-73.559252,J1772,Circuit électrique,E,2022-04-02
6992 Place Antioche,6992 Place Antioche,Montréal,QC,H1M 2V5,45.595635,-73.559549,J1772,Circuit électrique,E,2022-02-20
7046 Avenue Rhéaume,7046 Avenue Rhéaume,Montréal,QC,H1K 2S3,45.6132888,-73.5479429,J1772,Circuit électrique,E,2023-01-06
7051 av. de l'Alsace,"7051, Avenue de l'Alsace",Montréal,QC,H1J 2X8,45.60371566940086,-73.5828762579174,J1772,Circuit électrique,E,2022-11-29
1100 Fleury,1100 rue Fleury,Montréal,QC,H2C 1P9,45.558804,-73.658655,J1772,Circuit électrique,E,2019-07-17
9505 Basile-Routhier,"9505, Rue Basile-Routhier",Montréal,QC,H2M 1T9,45.55097989999999,-73.65110030000001,J1772,Circuit électrique,E,2021-06-22
54 Gouin,54 Boul. Gouin Est,Montréal,QC,H3L 1A6,45.552297,-73.673625,J1772,Circuit électrique,E,2019-07-17
1530 Fleury,1530 rue Fleury,Montréal,QC,H2C 2Y6,45.562906,-73.656227,J1772,Circuit électrique,E,2019-07-17
1780 Fleury,1780 Fleury,Montréal,QC,H2C 1T4,45.567582,-73.653615,J1772,Circuit électrique,E,2019-07-17
11988 Obrien,11988 Boulevard O'Brien,Montréal,QC,H4J 1Y9,45.53217,-73.706766,J1772,Circuit électrique,E,2019-07-17
990 Salaberry,990 Salaberry,Montréal,QC,H3L 3L6,45.545777,-73.692268,J1772,Circuit électrique,E,2019-07-17
8621 Avenue Chaumont (côté Nord),8621 Avenue Chaumont,Montréal,QC,H1K 1N3,45.610535,-73.54809,J1772,Circuit électrique,E,2019-07-17
7800 Métropolitain Est : Centre communautaire,7800 boul. Métropolitain Est,Montréal,QC,H1K 1A1,45.606483,-73.563324,J1772,Circuit électrique,E,2019-07-17
205 Chabanel,205 Rue Chabanel O,Montréal,QC,H2N 1G3,45.540928,-73.653312,J1772,Circuit électrique,E,2019-07-17
9699 Foucher,9699 Foucher,Montréal,QC,H2C 2C8,45.552676,-73.65481,J1772,Circuit électrique,E,2021-12-07
55 Cremazie O,55 boul. Crémazie O,Montréal,QC,H2N 1L3,45.541031,-73.642792,J1772,Circuit électrique,E,2019-07-17
460 Chabanel O,460 Rue Chabanel O,Montréal,QC,H2N 1G8,45.537961,-73.654751,J1772,Circuit électrique,E,2019-07-17
12505 Lachapelle,12505 Lachapelle,Montréal,QC,H4J 2N2,45.531689,-73.72589,J1772,Circuit électrique,E,2019-07-17
10305 St-Laurent,10305 St-Laurent,Montréal,QC,H3L 2M3,45.548862,-73.664778,J1772,Circuit électrique,E,2019-07-17
10625 Francis,10625 Rue Francis,Montréal,QC,H2C 3A5,45.565295,-73.660453,J1772,Circuit électrique,E,2019-07-17
1545 Henri-Bourassa,1545 Henri Bourassa,Montréal,QC,H3M 1X7,45.538203,-73.678763,J1772,Circuit électrique,E,2019-07-17
9335 St-Hubert,9335 rue St Hubert,Montréal,QC,H2M 1Y7,45.552497,-73.646632,J1772,Circuit électrique,E,2019-07-17
10905 rue Basile-Routhier : Parc Basile-Routhier,10905A rue Basile Routhier,Montréal,QC,H2C 3H5,45.557084,-73.671649,J1772,Circuit électrique,E,2019-07-17
2503 Henri-Bourassa E.,2503 Henri-Bourassa E.,Montréal,QC,H2B 1V1,45.578369,-73.65382,J1772,Circuit électrique,E,2020-03-13
10940 St-Laurent,10940 Boul St-Laurent,Montréal,QC,H3L 2R1,45.55174,-73.675833,J1772,Circuit électrique,E,2020-01-29
9494 Papineau,9490 papineau,Montréal,QC,H2M 1Z3,45.563199,-73.642342,J1772,Circuit électrique,E,2020-01-10
8340 Papineau,8340 Avenue Papineau,Montréal,QC,H2M 2R5,45.555275,-73.624298,J1772,Circuit électrique,E,2020-08-28
1110 Sauvé,1110 Sauvé,Montréal,QC,H2C 1Z9,45.55656,-73.652551,J1772,Circuit électrique,E,2020-01-25
10001 Jules-Crépeau,10001 jules crépeau,Montréal,QC,H4N 2Z3,45.535466,-73.669593,J1772,Circuit électrique,E,2020-01-10
2425 Gouin E. - Parc de la Visitation,2425 Gouin E,Montréal,QC,H2B 1X7,45.578392,-73.656741,J1772,Circuit électrique,E,2020-10-03
