title,price,mileage,transmission,location,year,brand,model,price_clean,mileage_clean,year_clean
"Ford F-150 Lightning LARIAT cabine SuperCrew 4RM caisse de 5,5 p","$64,995","29,777 km",Automatic,St-Jean-sur-Richelieu,Ford,F-150,Lightning LARIAT,64995.0,29777.0,
FORD FOCUS BEV 2014,"$10,995","108,200 km",Automatic,St-Jean-sur-Richelieu,FORD,FOCUS,BEV 2014,10995.0,108200.0,
2024 Ford F-150 Lightning XLT,"$75,930",10 km,Automatic,Windsor,2024,Ford,F-150 Lightning,75930.0,10.0,2024.0
2024 Cadillac LYRIQ Tech | Glass Roof | AWD | Lane Keep Assist,"$60,918","15,103 km",Automatic,Windsor,2024,Cadillac,LYRIQ Tech,60918.0,15103.0,2024.0
2020 Chevrolet Bolt EV,"$23,980","44,724 km",Automatic,Kelowna,2020,Chevrolet,Bolt EV,23980.0,44724.0,2020.0
2024 Volkswagen ID.4 Pro S | IN STOCK,"$55,120",10 km,Automatic,Sherwood Park,2024,Volkswagen,ID.4 Pro,55120.0,10.0,2024.0
2024 Mercedes-Benz EQB EQB 300,"$68,550",6 km,Automatic,Edmonton,2024,Mercedes-Benz,EQB EQB,68550.0,6.0,2024.0
2021 Tesla Model 3 Standard Range Plus,"$41,799","60,638 km",Automatic,New Westminster,2021,Tesla,Model 3,41799.0,60638.0,2021.0
2022 Tesla Model 3 RWD | NO ACCIDENTS | CLEAN CARFAX |,"$33,799","62,336 km",Automatic,Mississauga,2022,Tesla,Model 3,33799.0,62336.0,2022.0
2024 Mercedes-Benz EQB EQB 250+,"$70,470",6 km,Automatic,Edmonton,2024,Mercedes-Benz,EQB EQB,70470.0,6.0,2024.0
2024 Mercedes-Benz EQB EQB 300,"$69,925",6 km,Automatic,Edmonton,2024,Mercedes-Benz,EQB EQB,69925.0,6.0,2024.0
2024 GMC HUMMER EV Pickup 3X,"$192,392",15 km,Automatic,Duncan,2024,GMC,HUMMER EV,192392.0,15.0,2024.0
2024 Chevrolet Equinox EV LT AWD | All Weather Floor Mats,"$60,027",15 km,Automatic,Duncan,2024,Chevrolet,Equinox EV,60027.0,15.0,2024.0
2024 Hyundai IONIQ 6 (EV) Preferred Ultimate Pkg RWD LR - Level,"$62,778",18 km,Automatic,Calgary,2024,Hyundai,IONIQ 6,62778.0,18.0,2024.0
2024 Hyundai IONIQ 6 (EV) Preferred Ultimate Pkg AWD LR - Level,"$62,778",21 km,Automatic,Calgary,2024,Hyundai,IONIQ 6,62778.0,21.0,2024.0
2024 GMC HUMMER EV SUV 2X,"$135,947",18 km,Automatic,Duncan,2024,GMC,HUMMER EV,135947.0,18.0,2024.0
2024 Chevrolet Blazer EV eAWD LT | Power Moonroof | 360 Camera,"$63,488",15 km,Automatic,Duncan,2024,Chevrolet,Blazer EV,63488.0,15.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",20 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,20.0,2024.0
2023 Volkswagen ID.4 PRO | AWD | ALLOY WHEEL PKG | STATEMENT PKG,"$59,745",15 km,Automatic,Chilliwack,2023,Volkswagen,ID.4 PRO,59745.0,15.0,2023.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",2 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,2.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,392",32 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43392.0,32.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",20 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,20.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",30 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,30.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",14 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,14.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",15 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,15.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",74 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,74.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",28 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,28.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",14 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,14.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",12 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,12.0,2024.0
2024 Kia EV6 Land - Fast Charging,"$60,779",50 km,Automatic,Scarborough,2024,Kia,EV6 Land,60779.0,50.0,2024.0
2020 Tesla Model 3 Standard Range Plus EV | Adaptive Cruise,"$34,999","74,311 km",Automatic,Winnipeg,2020,Tesla,Model 3,34999.0,74311.0,2020.0
2021 Ford Mustang Mach-E Select AWD for sale,"$36,900","62,559 km",Automatic,Bathurst,2021,Ford,Mustang Mach-E,36900.0,62559.0,2021.0
Tesla model S 2015 / superchargements gratuit illimités,"$29,995","175,000 km",,Québec City,Tesla,model,S 2015,29995.0,175000.0,
2020 Porsche Taycan 4S AWD|NAV|BOSE|REDLEATHER|AMBIENT|PANOROOF|,"$87,995","58,626 km",,North York,2020,Porsche,Taycan 4S,87995.0,58626.0,2020.0
2024 Hyundai KONA ELECTRIC Ultimate w/ Sage-Green Int. -Price BE,"$52,162",15 km,Automatic,Calgary,2024,Hyundai,KONA ELECTRIC,52162.0,15.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",37 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,37.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",14 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,14.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",22 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,22.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",60 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,60.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",31 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,31.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",41 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,41.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$42,790",2 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),42790.0,2.0,2024.0
2024 FIAT 500e (RED) Edition | Electric | Carplay | 10.25-Inch,"$43,385",14 km,Automatic,Maple Ridge,2024,FIAT,500e (RED),43385.0,14.0,2024.0
2024 Hyundai Kona Electric Ultimate,"$54,922",9 km,Automatic,Prince George,2024,Hyundai,Kona Electric,54922.0,9.0,2024.0
2024 GMC HUMMER EV Pickup 3X,"$190,277",16 km,Automatic,Prince Albert,2024,GMC,HUMMER EV,190277.0,16.0,2024.0
2024 GMC HUMMER EV Pickup 2X,"$150,207",16 km,Automatic,Prince Albert,2024,GMC,HUMMER EV,150207.0,16.0,2024.0
2024 Chevrolet Blazer EV eAWD LT,"$62,218",15 km,Automatic,Prince Albert,2024,Chevrolet,Blazer EV,62218.0,15.0,2024.0
2024 Volkswagen ID.4 Pro S AWD | Heat Pump,"$65,320",10 km,Automatic,Pitt Meadows,2024,Volkswagen,ID.4 Pro,65320.0,10.0,2024.0
2024 Volkswagen ID.4 Pro S AWD | 21 Wheel Pkg | Heat Pump,"$64,131",18 km,Automatic,Pitt Meadows,2024,Volkswagen,ID.4 Pro,64131.0,18.0,2024.0
2024 Cadillac LYRIQ Tech,"$74,988",10 km,Automatic,London,2024,Cadillac,LYRIQ Tech,74988.0,10.0,2024.0
2024 GMC HUMMER EV Pickup 3X,"$189,087",16 km,Automatic,Duncan,2024,GMC,HUMMER EV,189087.0,16.0,2024.0
2024 Chevrolet Equinox EV LT,"$61,533",0 km,Automatic,Duncan,2024,Chevrolet,Equinox EV,61533.0,0.0,2024.0
"2023 Subaru Solterra AWD - ELECTRIC - 15,000KMS ONLY - BACK-UP C","$34,888","15,600 km",Automatic,Halton,2023,Subaru,Solterra AWD,34888.0,15600.0,2023.0
2023 Tesla Model Y Panorama Roof-LOW KMS-LIKE NEW-( 905 ) 639 -,"$43,888","11,400 km",Automatic,Halton,2023,Tesla,Model Y,43888.0,11400.0,2023.0
2024 BMW iX M60 xDrive,"$137,639",90 km,Automatic,Laval,2024,BMW,iX M60,137639.0,90.0,2024.0
2024 Chevrolet Blazer EV eAWD LT,"$62,089",17 km,Automatic,Kelowna,2024,Chevrolet,Blazer EV,62089.0,17.0,2024.0
2024 Chevrolet Silverado EV Work Truck,"$78,033",1 km,Automatic,Calgary,2024,Chevrolet,Silverado EV,78033.0,1.0,2024.0
2023 Chevrolet Bolt EUV Premier ALL ELECTRIC! LOW KMS,"$39,800",56 km,Automatic,Calgary,2023,Chevrolet,Bolt EUV,39800.0,56.0,2023.0
2024 Chevrolet Silverado EV Work Truck,"$84,458",7 km,Automatic,Calgary,2024,Chevrolet,Silverado EV,84458.0,7.0,2024.0
2024 Chevrolet Silverado EV Work Truck,"$78,033",30 km,Automatic,Calgary,2024,Chevrolet,Silverado EV,78033.0,30.0,2024.0
2024 Volkswagen ID.4 Pro S AWD,"$62,195",5 km,Automatic,Grande Prairie,2024,Volkswagen,ID.4 Pro,62195.0,5.0,2024.0
2024 Hyundai IONIQ 5 Preferred,"$59,848",9 km,Automatic,Gatineau,2024,Hyundai,IONIQ 5,59848.0,9.0,2024.0
2024 FIAT 500e La Prima | Rear Camera | Apple CarPlay,"$45,494",39 km,Automatic,Grande Prairie,2024,FIAT,500e La,45494.0,39.0,2024.0
2024 Audi Q4 e-tron Sportback,"$87,835",13 km,Automatic,Winnipeg,2024,Audi,Q4 e-tron,87835.0,13.0,2024.0
2024 Hyundai IONIQ 5 Preferred,"$65,848",9 km,Automatic,Gatineau,2024,Hyundai,IONIQ 5,65848.0,9.0,2024.0
2025 Hyundai Kona Electric KONA LECTRIQUE PREFERRED,"$49,348",9 km,Automatic,Gatineau,2025,Hyundai,Kona Electric,49348.0,9.0,2025.0
2024 Ford F-150 Lightning XLT,"$75,819",30 km,Automatic,Sherwood Park,2024,Ford,F-150 Lightning,75819.0,30.0,2024.0
2024 Audi Q4 e-tron,"$84,735",14 km,Automatic,Winnipeg,2024,Audi,Q4 e-tron,84735.0,14.0,2024.0
2024 Audi Q4 e-tron,"$82,335",15 km,Automatic,Winnipeg,2024,Audi,Q4 e-tron,82335.0,15.0,2024.0
2024 Kia Niro EV Wind,"$47,895",356 km,Automatic,Guelph,2024,Kia,Niro EV,47895.0,356.0,2024.0
2023 Volkswagen ID.4 Pro,"$57,778",781 km,Automatic,Abbotsford,2023,Volkswagen,ID.4 Pro,57778.0,781.0,2023.0
2024 Hyundai IONIQ 5 Preferred,"$60,910",18 km,Automatic,Guelph,2024,Hyundai,IONIQ 5,60910.0,18.0,2024.0
2024 Volkswagen ID.4 Pro In Stock,"$61,510",60 km,Automatic,Winnipeg,2024,Volkswagen,ID.4 Pro,61510.0,60.0,2024.0
2023 Volkswagen ID.4 Pro,"$55,348",90 km,Automatic,Abbotsford,2023,Volkswagen,ID.4 Pro,55348.0,90.0,2023.0
2023 BMW iX xDrive40,"$67,500","30,589 km",Automatic,Ottawa,2023,BMW,iX xDrive40,67500.0,30589.0,2023.0
2024 Hyundai Ioniq 5 Preferred Awd 4X4 / Cuir / Clim Bi Zone / C,"$49,999","6,004 km",Automatic,Saint-Léonard,2024,Hyundai,Ioniq 5,49999.0,6004.0,2024.0
2024 Cadillac LYRIQ Sport,"$96,897",69 km,,Calgary,2024,Cadillac,LYRIQ Sport,96897.0,69.0,2024.0
2024 Chevrolet Equinox EV RS,"$52,022",11 km,,Calgary,2024,Chevrolet,Equinox EV,52022.0,11.0,2024.0
2011 Nissan Leaf SV|NAVI|ALLOYS|PUSHBUTTON START|CLIMATE,"$9,999","15,799 km",Automatic,Welland,2011,Nissan,Leaf SV|NAVI|ALLOYS|PUSHBUTTON,9999.0,15799.0,2011.0
2024 Audi Q4 e-tron,"$61,977","17,200 km",Automatic,Sherbrooke,2024,Audi,Q4 e-tron,61977.0,17200.0,2024.0
